date,region,total,2024,2529,3034,3539
2006,jeonnabukdo,264149,63587,61473,67412.5,71676.5
2006,jeonnanamdo,247960,60933.5,57175.5,61551,68300
2006,gyeoungsangbukdo,382842.5,88027.5,89908,98871,106036
2006,gyeoungsangnamdo,485855,102563,110216.5,129508.5,143567
2006,jeju,86456.5,18764,19614,23156.5,24922
2007,seoul,1824659,377315.5,502349,472386.5,472608
2007,busan,563828.5,128719,149611,134139,151359.5
2007,daegu,398347.5,82848.5,98162.5,100187.5,117149
2007,incheon,431770.5,90112.5,104394,109258,128006
2007,gwangju,235180,50978.5,58976.5,59608,65617
2007,daejeon,248943,53108,61543,63619.5,70672.5
2007,ulsan,176851.5,34712,40870.5,45198.5,56070.5
2007,gyeonggi,1856233,348027.5,434937,500812.5,572456
2007,gangwon,206894.5,45464,48709,52539,60182.5
2007,chungcheongbukdo,220598.5,48663,52441,55841.5,63653
2007,chungcheongnamdo,280615.5,63454.5,66546.5,72012,78602.5
2007,jeonnabukdo,256470,58963,60716,64642,72149
2007,jeonnanamdo,239428.5,55988,56569.5,58799,68072
2007,gyeoungsangbukdo,374536.5,82407.5,90590.5,95366,106172.5
2007,gyeoungsangnamdo,477078,95964,111875,124430.5,144808.5
2007,jeju,83953.5,17290.5,19704.5,21479,25479.5
2008,seoul,1795743.5,355833,506743.5,457385.5,475781.5
2008,busan,545131,119193,149430.5,128565,147942.5
2008,daegu,385074.5,76645,98355.5,94874,115200
2008,incheon,428023.5,87465,107345,106187.5,127026
2008,gwangju,230589.5,48187.5,59100,57630,65672
2008,daejeon,243515.5,50177.5,61470,61393,70475
2008,ulsan,172513,33023.5,41572.5,43318,54599
2008,gyeonggi,1839609.5,337998.5,441574.5,484481.5,575555
2008,gangwon,201150.5,42859.5,48259.5,50464,59567.5
2008,chungcheongbukdo,216833.5,46267,53402,54205.5,62959
2008,chungcheongnamdo,277277.5,59901,67865.5,70664,78847
2008,jeonnabukdo,249192.5,55618,60130.5,61879,71565
2008,jeonnanamdo,231450.5,51941,56029,56412.5,67068
2008,gyeoungsangbukdo,362795,76934.5,90219.5,91134.5,104506.5
2008,gyeoungsangnamdo,466790,90682.5,112572,119632,143903.5
2008,jeju,81321,16138,19665.5,20016,25501.5
2009,seoul,1763708,342477,498304.5,449552.5,473374
2009,busan,527242,113635,144521,124998,144088
2009,daegu,372761.5,73638,95319.5,91321,112483
2009,incheon,421944,86669,106751,103913,124611
2009,gwangju,226733,46881,57829.5,56432,65590.5
2009,daejeon,236921.5,48416.5,59947.5,59219.5,69338
2009,ulsan,168120.5,32333.5,40966,41934,52887
2009,gyeonggi,1817077.5,336562,436391,471651,572473.5
2009,gangwon,195866,41716.5,46810.5,48636,58703
2009,chungcheongbukdo,211909,44724.5,52862.5,52450.5,61871.5
2009,chungcheongnamdo,273861.5,58019.5,67614.5,69353.5,78874
2009,jeonnabukdo,242440,53683.5,58740,58991.5,71025
2009,jeonnanamdo,224721.5,49750.5,54623.5,54576,65771.5
2009,gyeoungsangbukdo,350944.5,73685.5,87921.5,87187,102150.5
2009,gyeoungsangnamdo,457336,88244.5,111010,116155,141926.5
2009,jeju,78828.5,15543,19131.5,19092.5,25061.5
2010,seoul,1721953,333546.5,473561.5,452660,462185
2010,busan,510226,110241.5,134814.5,125927,139243
2010,daegu,361327,72771.5,89011,90541.5,109003
2010,incheon,415219,87020,102612.5,104382,121204.5
2010,gwangju,223060.5,46248,55018.5,56863,64931
2010,daejeon,231269.5,47491.5,57089,59006,67683
2010,ulsan,163659.5,32251,38866,41856,50686.5
2010,gyeonggi,1801451,341637,421343.5,474344.5,564126
2010,gangwon,190599.5,41128,44202,47849,57420.5
2010,chungcheongbukdo,207393,43772.5,50810,52141,60669.5
2010,chungcheongnamdo,271616,57592,65454.5,69853.5,78716
2010,jeonnabukdo,236616,52547,56126.5,58021.5,69921
2010,jeonnanamdo,218343.5,48620.5,51788,54187.5,63747.5
2010,gyeoungsangbukdo,340325.5,71930.5,83117.5,85809.5,99468
2010,gyeoungsangnamdo,447197,86997,105857,116224.5,138118.5
2010,jeju,76524,15205.5,18102.5,18905.5,24310.5
2011,seoul,1676582,330053.5,445775,457540,443213.5
2011,busan,495370.5,109072,124417,129007.5,132874
2011,daegu,350639.5,73126,82215.5,90790,104508
2011,incheon,412344.5,88978.5,98233,107691,117442
2011,gwangju,219421.5,46483.5,52089.5,57717.5,63131
2011,daejeon,227712,47819.5,54141.5,59981,65770
2011,ulsan,160388,32878,36644,42757.5,48108.5
2011,gyeonggi,1788407.5,352895,403772,482923.5,548817
2011,gangwon,185915.5,41278,41501,47635.5,55501
2011,chungcheongbukdo,204349,43692.5,48538,52792.5,59326
2011,chungcheongnamdo,269885,57930.5,62949.5,71216.5,77788.5
2011,jeonnabukdo,231459.5,52463,53281.5,58279.5,67435.5
2011,jeonnanamdo,212278,48298.5,48874.5,54272,60833
2011,gyeoungsangbukdo,332311,71471,78132,86506.5,96201.5
2011,gyeoungsangnamdo,437288.5,87342,99231,117807,132908.5
2011,jeju,74634.5,15459,16970,19108.5,23097
2012,seoul,1639911.5,333876.5,417948,462075.5,426011.5
2012,busan,483495.5,110022.5,114823.5,131350,127299.5
