date,region,total,6569,7074,7579,8084,8589,9094,9599,100UP
2019,chungcheongbukdo,265419.5,79078.5,60707.5,57233,41160,19267,6355,1419,199.5
2019,chungcheongnamdo,376206,105649.5,84800.5,79548.5,62518,31211,9894,2273.5,311
2019,jeonnabukdo,361640.5,101269,85101,77808,56858.5,28661.5,9486,2139,317.5
2019,jeonnanamdo,414748.5,108313.5,96383.5,95005,67960,33342,10588,2812.5,344
2019,gyeoungsangbukdo,535457.5,159719.5,118569.5,116660,83497,40461,13283,2861,406.5
2019,gyeoungsangnamdo,531593.5,168009,124835.5,109956.5,76032.5,38031.5,12097,2356,275.5
2019,jeju,96956.5,27759,24071.5,19674,14080,7816,2376,1049,131
2020,seoul,1468915.5,496050,385833.5,289716.5,178205.5,81871.5,29509.5,6768.5,960.5
2020,busan,627723.5,219293.5,162689.5,122328.5,75805,33937,11162,2208,300
2020,daegu,385649.5,130962,95564,75777.5,50612,23980.5,7183.5,1391,179
2020,incheon,392688,133963,98820.5,73708,49549,25058.5,9159.5,2143,286.5
2020,gwangju,198681.5,63326.5,51926.5,39508.5,25730.5,12602.5,4483,959,145
2020,daejeon,202889.5,69134,49983.5,38834,26253.5,13139,4458,958.5,129
2020,ulsan,136816,53916,34458,23720.5,14671,7116,2374.5,510,50
2020,gyeonggi,1689435.5,564019,417739,325819.5,223085,109880,38859,8762.5,1271.5
2020,gangwon,307324.5,93232,69188,65270.5,47146.5,21848,8371.5,1959.5,308.5
2020,chungcheongbukdo,278518.5,86914,62558.5,56411,42481.5,21352.5,7071,1521.5,208.5
2020,chungcheongnamdo,392366.5,112847.5,89964.5,77896,63328.5,34598,10988.5,2393.5,350
2020,jeonnabukdo,375391.5,106220.5,90540.5,76048.5,58063.5,31440.5,10578.5,2157.5,342
2020,jeonnanamdo,425969,112431.5,100071.5,91460,70893.5,35769.5,12148.5,2818,376.5
2020,gyeoungsangbukdo,557430,169680.5,126099.5,112261.5,86699,44711,14540.5,2997.5,440.5
2020,gyeoungsangnamdo,559916.5,182066,132736.5,108051,79399,41353.5,13417,2577.5,316
2020,jeju,101812.5,30227,24729,19834,14614.5,8478.5,2813,969,147.5
2021,seoul,1540883.5,535174,392366.5,293549.5,189601,90257.5,31768.5,7074.5,1092
2021,busan,661958.5,235574,170916,122161,81184,37302,12110.5,2380,331
2021,daegu,405661,140803,101436,74089,53237.5,26425,7948.5,1517.5,204.5
2021,incheon,419096,150082.5,101665,75214,52019,27501.5,9983.5,2292.5,338
2021,gwangju,208099.5,67587.5,53680,39836,27387.5,13590.5,4838.5,1022,157.5
2021,daejeon,214592,75561,52329.5,39039.5,27309.5,14336.5,4855,1011.5,149.5
2021,ulsan,147341,59572,37324.5,23993,15530.5,7758,2537.5,566.5,59
2021,gyeonggi,1809023,634106.5,430717.5,332442,236029,122155,42636.5,9483.5,1453
2021,gangwon,323681,105208.5,68618.5,64517,49725.5,24112.5,9016,2151,332
2021,chungcheongbukdo,293260,96886,64396.5,55377.5,43411.5,23701.5,7645.5,1605.5,236
2021,chungcheongnamdo,410149,122430.5,94898.5,76036,63563,38123,12150,2565.5,382.5
2021,jeonnabukdo,389660.5,112335.5,94562.5,74981.5,59269.5,34135.5,11741.5,2266.5,368
2021,jeonnanamdo,438279.5,118072.5,103131.5,87982,73824,38416,13524.5,2904.5,424.5
2021,gyeoungsangbukdo,582005,182997.5,134621.5,107183.5,88611.5,48880.5,15978.5,3241.5,490.5
2021,gyeoungsangnamdo,590980,199239.5,140810.5,105463.5,82729,44725,14814,2832.5,366
2021,jeju,107188,33322,25198,20056,15302,9082.5,3138.5,917,172
2022,seoul,1608995,564472.5,398354.5,299196.5,207370,97563.5,33449.5,7423.5,1165
2022,busan,693990.5,247259.5,178226,124066.5,88277.5,40224,12973,2597.5,366.5
2022,daegu,424929,148132.5,106948,73539.5,57304.5,28407,8755.5,1616.5,225.5
2022,incheon,446984,164793,105168.5,77560,56353,29529,10734,2458,388.5
2022,gwangju,217446,71528.5,54752.5,40272.5,30019.5,14563,5079,1066.5,164.5
2022,daejeon,226194.5,81402.5,54530,38961.5,29497.5,15320.5,5221,1092,169.5
2022,ulsan,158007.5,64531,40109,24734,16990,8245.5,2741,596,61
2022,gyeonggi,1925332,693621.5,446623.5,340340,254621,132569,45932,10050.5,1574.5
2022,gangwon,340410.5,114517,71245,63707,52610.5,26265,9448,2282,336
2022,chungcheongbukdo,308579,105364.5,67838.5,53884.5,45802,25575.5,8188,1662,264
2022,chungcheongnamdo,427434.5,131293,98454,74189.5,66377,40437,13536.5,2732,415.5
2022,jeonnabukdo,403021.5,118823.5,95229,73824.5,63498.5,36125,12633.5,2473,414.5
2022,jeonnanamdo,450466.5,123805,104574.5,84937,78151.5,40879.5,14636,2993.5,489.5
2022,gyeoungsangbukdo,605879,193836.5,142760,103273.5,92910.5,51819,17311,3450.5,518
2022,gyeoungsangnamdo,621760,213558,148838,105185,87105,47449.5,16176.5,3069,379
2022,jeju,112393,36159.5,25555,20500,16055,9587,3479,850,207.5
