date,region,total,6569,7074,7579,8084,8589,9094,9599,100UP
2004,chungcheongbukdo,158893,63370.5,43145.5,26983.5,15878.5,6899.5,2164.5,379,72
2004,chungcheongnamdo,249480.5,96839.5,70085.5,42965,24937,10476,3354,678.5,145
2004,jeonnabukdo,233712.5,88903,64860.5,41271.5,24556.5,10069,3213.5,686,152.5
2004,jeonnanamdo,290119,111272,81138.5,49637,30860.5,11863.5,4221.5,919.5,206.5
2004,gyeoungsangbukdo,341778,131462.5,93091.5,60850.5,35422,15380.5,4592,822,157
2004,gyeoungsangnamdo,304373,117669.5,87054,55226.5,29661.5,10729.5,3308.5,618.5,105
2004,jeju,51917.5,19886,14332,7361,6028.5,2790,1190.5,277.5,52
2005,seoul,710667.5,301682,184784.5,114869.5,67952.5,29562,9597,1892.5,327.5
2005,busan,294355.5,125395.5,80625.5,49434,25947,9384.5,2946.5,528.5,94
2005,daegu,190834.5,79509,53831,31339,16795.5,6871,2035,388.5,65.5
2005,incheon,174075.5,68701.5,47409,30336,17793,7188,2144.5,432,71.5
2005,gwangju,96997.5,38061.5,25884.5,17077,9813,4320.5,1476,305,60
2005,daejeon,97455,38545.5,26507,16867,9730,4185.5,1299.5,271,49.5
2005,ulsan,56098,22686,15155,9653.5,5530,2287.5,664.5,105.5,16
2005,gyeonggi,732732,294690,201001.5,124377,71267.5,29857.5,9400,1840,298.5
2005,gangwon,179329,71856.5,46066.5,30965.5,18759,8495.5,2564,532.5,89.5
2005,chungcheongbukdo,165708.5,64132,46402.5,28682,16579.5,7136,2269,437,70.5
2005,chungcheongnamdo,258415,96215,75504.5,45395,25992,10924,3497,738,149.5
2005,jeonnabukdo,240692,88426,68867,44020,24551,10626.5,3327.5,735.5,138.5
2005,jeonnanamdo,301003.5,113297,83903.5,54339,31377.5,12622,4299,979.5,186
2005,gyeoungsangbukdo,354413,133095.5,99425.5,63333,36654,16090,4809,851.5,154.5
2005,gyeoungsangnamdo,317416,120237,91788,58148,31660.5,11342,3501,638,101.5
2005,jeju,54542.5,20351,15456.5,8343,5938,2857,1235.5,310,51.5
2006,seoul,756124.5,318422.5,201261,121727.5,70350,31732.5,10201,2089,341
2006,busan,312401.5,132013,86779.5,52160,27356,10356,3080,559.5,97.5
2006,daegu,200788.5,82138,57900,33261,17602.5,7256,2151,416.5,63.5
2006,incheon,184271,71385,51291.5,32283.5,18617.5,7837.5,2295.5,489,71.5
2006,gwangju,102595.5,40108.5,27647.5,18142.5,10128,4642.5,1526.5,339.5,60.5
2006,daejeon,102763.5,39905.5,28645,17860,10149.5,4452,1406.5,295.5,49.5
2006,ulsan,59608,23958.5,16291.5,10236.5,5805.5,2457,723,119.5,16.5
2006,gyeonggi,781546.5,307637.5,220178,133244,75420.5,32592.5,10069.5,2084.5,320
2006,gangwon,187741.5,73974,49678.5,32160.5,19635.5,8829,2797,572.5,94.5
2006,chungcheongbukdo,172292,64280.5,50211.5,30144,17203.5,7449.5,2462,473,68
2006,chungcheongnamdo,266573,94656.5,80904.5,47788.5,27083.5,11411.5,3768,814,146.5
2006,jeonnabukdo,247875,88136.5,72684.5,46503,24982.5,11110,3542,773,143.5
2006,jeonnanamdo,311682.5,115163.5,87337.5,57969,32104,13476,4431.5,1013.5,187.5
2006,gyeoungsangbukdo,366211,133371,105789.5,66009.5,37962.5,16965,5045,917.5,151
2006,gyeoungsangnamdo,330914.5,122535,96610,61370,33482.5,12457.5,3674.5,678.5,106.5
2006,jeju,57240,21028,16482,9206,5793.5,3062,1277.5,345.5,45.5
2007,seoul,812869.5,345882.5,217275.5,128671.5,73015.5,34407.5,10969.5,2279.5,368
2007,busan,333755.5,141512.5,92446.5,55370.5,28976.5,11455,3273,616,105.5
2007,daegu,213569,87239.5,61264,35797,18569,7852.5,2327,452.5,67.5
2007,incheon,197410,76626.5,54958.5,34456.5,19538,8671.5,2522,561,76
2007,gwangju,109812.5,43685,29507.5,19046.5,10538,5001.5,1603,370.5,60.5
2007,daejeon,109855,42902.5,30655.5,18832,10729.5,4832.5,1530,323,50
2007,ulsan,63796,25925,17292.5,10822,6121.5,2658,826,135,16
2007,gyeonggi,839386.5,328938.5,238073,142969,79638.5,36068.5,11041.5,2316.5,341
2007,gangwon,197105,76553.5,53882,33379.5,20265,9233,3076.5,611.5,104
2007,chungcheongbukdo,181068.5,66593.5,53528.5,31861,17689,8158,2644,521.5,73
2007,chungcheongnamdo,278454,97092.5,84562.5,51314.5,27997.5,12413.5,4042.5,892.5,138.5
2007,jeonnabukdo,259350.5,92446.5,75405,48459,26293.5,11995,3752.5,836.5,162.5
2007,jeonnanamdo,324721,119212,91195.5,60993.5,32648,14732.5,4696,1044,199.5
2007,gyeoungsangbukdo,381471,137551,110412,69425.5,39412,18071.5,5434,1019,146
2007,gyeoungsangnamdo,346271,126650.5,100329.5,65520,35096,13923,3884.5,754,113.5
2007,jeju,60209.5,21858.5,17368,10119,5705,3360.5,1362.5,387,49
2008,seoul,867445.5,369077.5,233331.5,135989,76744.5,37744.5,11673.5,2485,400
2008,busan,354565.5,149933.5,98151,58279,31114,12814.5,3473,688,112.5
2008,daegu,226739.5,92061.5,64607.5,38348.5,20093.5,8577.5,2499.5,472.5,79
2008,incheon,210370,81209,58456.5,36759.5,20702.5,9739,2806.5,610,87
2008,gwangju,116138,45949.5,31547,19988.5,11030.5,5476.5,1700.5,382.5,63
2008,daejeon,116608,45376.5,32484,19966.5,11421.5,5329.5,1626,353.5,50.5
2008,ulsan,68084,27851.5,18300.5,11390,6520.5,2957,899.5,149.5,15.5
2008,gyeonggi,895411.5,346460.5,254978,153936.5,84598,40494.5,12020,2545,379
2008,gangwon,206060,78119,58087.5,34802.5,20946.5,10000.5,3318,671,115
2008,chungcheongbukdo,189382.5,68442,55892.5,34070.5,18612.5,8930.5,2756.5,595,83
2008,chungcheongnamdo,289625,98676,87099.5,55321,29415.5,13796,4248.5,935,133.5
2008,jeonnabukdo,269451.5,94822,77569.5,50774,27828.5,13424,3965,895.5,173
2008,jeonnanamdo,335461.5,119839.5,95294,64185,33190,16789,4832,1118,214
2008,gyeoungsangbukdo,396528.5,141201,114365.5,73022.5,41403.5,19360.5,5891,1127,157.5
2008,gyeoungsangnamdo,360541,129771,103659,69390,37183,15529.5,4087.5,801.5,119.5
2008,jeju,62962.5,22316.5,17947,11332,5532,3900.5,1455,420,59.5
2009,seoul,912904.5,378338.5,251268,144706.5,82307.5,40650,12472.5,2720.5,441
