"시점","행정구역(시군구)별","성별",계,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2003","충청북도","계",1491174,61523,40487.5,25544,24408.5,15278,9130.5,6660,2061.5,338.5,70.5
"2003","충청남도","계",1910264,95012,65816,40615,37636,23591.5,14044.5,10013.5,3283,603.5,144.5
"2003","전라북도","계",1954138,87413.5,61809.5,39265,37020.5,23486,13534.5,9631.5,3097.5,635.5,170
"2003","전라남도","계",2035967,107965.5,78513,47142,45781.5,29027,16754.5,11597,4037.5,878.5,241.5
"2003","경상북도","계",2738788,127765,88696.5,58396,54407,34252,20155,14843,4360.5,776.5,175
"2003","경상남도","계",3131717.5,114302,83364.5,52267,41863.5,27547,14316.5,10482.5,3130,585,119
"2003","제주특별자치도","계",551564,19467.5,12961,7074,9796,5615.5,4180.5,2751.5,1136.5,242,50.5
"2004","서울특별시","계",10173624,284942.5,171409.5,107648.5,104447,65423,39024,27893.5,9108.5,1709,313
"2004","부산광역시","계",3678895,118905,75103.5,46597,36475.5,24361,12114.5,8713,2816,493,92.5
"2004","대구광역시","계",2527128,76705.5,49402,29738,24834.5,15956.5,8878,6543,1908.5,359,67.5
"2004","인천광역시","계",2574505.5,66184.5,44399,28502.5,26018.5,16899.5,9119,6643.5,2026,375.5,74
"2004","광주광역시","계",1398467,36583,24432.5,15646,15353,9568.5,5784.5,4055,1383.5,281.5,64.5
"2004","대전광역시","계",1437883.5,37155,24638.5,15804.5,14752,9281.5,5470.5,3920.5,1258.5,238.5,53
"2004","울산광역시","계",1077160,21288.5,13997,9097,8090.5,5227.5,2863,2128.5,621.5,95,18
"2004","경기도","계",10334885.5,281184,184297.5,114591,105538,67228,38310,27521,8900,1615,274
"2004","강원도","계",1524204.5,68839.5,43623.5,29541,28926.5,17854,11072.5,8129.5,2386.5,469.5,87
"2004","충청북도","계",1489290,63370.5,43145.5,26983.5,25393.5,15878.5,9515,6899.5,2164.5,379,72
"2004","충청남도","계",1933104.5,96839.5,70085.5,42965,39590.5,24937,14653.5,10476,3354,678.5,145
"2004","전라북도","계",1930586,88903,64860.5,41271.5,38677.5,24556.5,14121,10069,3213.5,686,152.5
"2004","전라남도","계",2001961,111272,81138.5,49637,48071.5,30860.5,17211,11863.5,4221.5,919.5,206.5
"2004","경상북도","계",2708374.5,131462.5,93091.5,60850.5,56373.5,35422,20951.5,15380.5,4592,822,157
"2004","경상남도","계",3141415.5,117669.5,87054,55226.5,44423,29661.5,14761.5,10729.5,3308.5,618.5,105
"2004","제주특별자치도","계",553829.5,19886,14332,7361,10338.5,6028.5,4310,2790,1190.5,277.5,52
"2005","서울특별시","계",10170253,301682,184784.5,114869.5,109331.5,67952.5,41379,29562,9597,1892.5,327.5
"2005","부산광역시","계",3652319,125395.5,80625.5,49434,38900.5,25947,12953.5,9384.5,2946.5,528.5,94
"2005","대구광역시","계",2518009,79509,53831,31339,26155.5,16795.5,9360,6871,2035,388.5,65.5
"2005","인천광역시","계",2589656,68701.5,47409,30336,27629,17793,9836,7188,2144.5,432,71.5
"2005","광주광역시","계",1401458.5,38061.5,25884.5,17077,15974.5,9813,6161.5,4320.5,1476,305,60
"2005","대전광역시","계",1449054.5,38545.5,26507,16867,15535.5,9730,5805.5,4185.5,1299.5,271,49.5
"2005","울산광역시","계",1084550.5,22686,15155,9653.5,8603.5,5530,3073.5,2287.5,664.5,105.5,16
"2005","경기도","계",10580067.5,294690,201001.5,124377,112663.5,71267.5,41396,29857.5,9400,1840,298.5
"2005","강원도","계",1517242.5,71856.5,46066.5,30965.5,30440.5,18759,11681.5,8495.5,2564,532.5,89.5
"2005","충청북도","계",1488874,64132,46402.5,28682,26492,16579.5,9912.5,7136,2269,437,70.5
"2005","충청남도","계",1958026,96215,75504.5,45395,41300.5,25992,15308.5,10924,3497,738,149.5
"2005","전라북도","계",1896038.5,88426,68867,44020,39379,24551,14828,10626.5,3327.5,735.5,138.5
"2005","전라남도","계",1976698.5,113297,83903.5,54339,49464,31377.5,18086.5,12622,4299,979.5,186
"2005","경상북도","계",2692204,133095.5,99425.5,63333,58559,36654,21905,16090,4809,851.5,154.5
